1, 3024, 55
7, 3060, 90
4, 3112, 56
6, 3124, 62
5, 3129, 57
3, 3130, 56
2, 3134, 56
1, 3135, 56
9, 3145, 605
4, 3225, 57
7, 3241, 91
3, 3243, 57
5, 3244, 58
2, 3247, 57
1, 3248, 57
6, 3249, 63
4, 3340, 58
3, 3358, 58
5, 3361, 59
8, 3361, 209
2, 3362, 58
1, 3363, 58
6, 3376, 64
7, 3424, 92
4, 3457, 59
3, 3475, 59
2, 3479, 59
1, 3480, 59
5, 3480, 60
6, 3505, 65
4, 3576, 60
3, 3594, 60
2, 3598, 60
1, 3599, 60
5, 3601, 61
7, 3609, 93
6, 3636, 66
4, 3697, 61
3, 3715, 61
2, 3719, 61
1, 3720, 61
5, 3724, 62
6, 3769, 67
8, 3780, 210
7, 3796, 94
4, 3820, 62
3, 3838, 62
2, 3842, 62
1, 3843, 62
5, 3849, 63
6, 3904, 68
4, 3945, 63
3, 3963, 63
2, 3967, 63
1, 3968, 63
5, 3976, 64
7, 3985, 95
10, 4036, 1906
6, 4041, 69
4, 4072, 64
3, 4090, 64
2, 4094, 64
1, 4095, 64
5, 4105, 65
7, 4176, 96
6, 4180, 70
4, 4201, 65
8, 4201, 211
3, 4219, 65
2, 4223, 65
1, 4224, 65
5, 4236, 66
6, 4321, 71
4, 4332, 66
3, 4350, 66
2, 4354, 66
1, 4355, 66
9, 4356, 606
5, 4369, 67
7, 4369, 97
6, 4464, 72
4, 4465, 67
3, 4483, 67
2, 4487, 67
1, 4488, 67
5, 4504, 68
7, 4564, 98
4, 4600, 68
6, 4609, 73
3, 4618, 68
2, 4622, 68
1, 4623, 68
8, 4624, 212
5, 4641, 69
4, 4737, 69
3, 4755, 69
6, 4756, 74
2, 4759, 69
1, 4760, 69
7, 4761, 99
5, 4780, 70
4, 4876, 70
3, 4894, 70
2, 4898, 70
1, 4899, 70
6, 4905, 75
5, 4921, 71
7, 4960, 100
4, 5017, 71
3, 5035, 71
2, 5039, 71
1, 5040, 71
8, 5049, 213
6, 5056, 76
5, 5064, 72
4, 5160, 72
7, 5161, 101
3, 5178, 72
2, 5182, 72
1, 5183, 72
5, 5209, 73
6, 5209, 77
4, 5305, 73
3, 5323, 73
2, 5327, 73
1, 5328, 73
5, 5356, 74
6, 5364, 78
7, 5364, 102
4, 5452, 74
3, 5470, 74
2, 5474, 74
1, 5475, 74
8, 5476, 214
5, 5505, 75
6, 5521, 79
7, 5569, 103
9, 5569, 607
4, 5601, 75
3, 5619, 75
2, 5623, 75
1, 5624, 75
5, 5656, 76
6, 5680, 80
4, 5752, 76
3, 5770, 76
2, 5774, 76
1, 5775, 76
7, 5776, 104
5, 5809, 77
6, 5841, 81
4, 5905, 77
8, 5905, 215
3, 5923, 77
2, 5927, 77
1, 5928, 77
5, 5964, 78
7, 5985, 105
6, 6004, 82
4, 6060, 78
3, 6078, 78
2, 6082, 78
1, 6083, 78
5, 6121, 79
6, 6169, 83
7, 6196, 106
4, 6217, 79
3, 6235, 79
2, 6239, 79
1, 6240, 79
5, 6280, 80
6, 6336, 84
8, 6336, 216
4, 6376, 80
3, 6394, 80
2, 6398, 80
1, 6399, 80
7, 6409, 107
5, 6441, 81
6, 6505, 85
4, 6537, 81
3, 6555, 81
2, 6559, 81
1, 6560, 81
5, 6604, 82
7, 6624, 108
6, 6676, 86
4, 6700, 82
3, 6718, 82
2, 6722, 82
1, 6723, 82
5, 6769, 83
8, 6769, 217
9, 6784, 608
7, 6841, 109
6, 6849, 87
4, 6865, 83
3, 6883, 83
2, 6887, 83
1, 6888, 83
5, 6936, 84
6, 7024, 88
4, 7032, 84
3, 7050, 84
2, 7054, 84
1, 7055, 84
7, 7060, 110
5, 7105, 85
